,detected_matches,valid_matches,inlier_rate,detection_time,EulerZ_error(degree),EulerY_error(degree),EulerX_error(degree),t1_error(m),t2_error(m),t3_error(m),delta_R(Rodrigues),delta_T(degree)
0,4218,4218,1.0,0.3241264589887578,-0.06938942678725601,0.037593954038695254,0.014441749922355349,-0.001532129809281866,-0.00025836623521314193,-0.0007716765160698287,0.08022533438601177,87.5690831437663
1,4222,4221,0.9997631454287068,0.19753487998968922,-0.0062897933692208086,0.02767412530302713,0.011577015268088313,0.0006026356304863811,-0.0015106082804782273,0.0008266565445025661,0.03064980990863085,28.723090470785507
2,4227,4202,0.9940856399337592,0.20493060200533364,0.23991125759659893,-0.016075433109566037,-0.008420932791968809,0.0009824401240218126,-0.0038062439727169785,-0.0024998145429744414,0.2405978169361072,86.1003148411842
3,4225,4199,0.9938461538461538,0.21548705101304222,-0.08708759009017021,0.012099895300066228,-0.17255084888413752,-0.0015520234694864946,0.0007676248719783808,-8.243456519825448e-05,0.19366883811066327,73.50418411404937
4,4223,4223,1.0,0.3126754550030455,0.1048914752837412,-0.021917910199939328,-0.059539071257788664,0.0005134684171412868,-0.0022959909811105686,-0.0007355761099952989,0.12259651394748816,89.46458563613427
5,4211,4211,1.0,0.468571367993718,-0.1405991293208633,0.11815209803559903,0.012619401684132302,0.000531752062638891,0.0002933674953957559,0.002414189962461645,0.18407503031624453,75.47370913676689
6,4224,4224,1.0,0.29465543500555214,-0.07949715564017971,0.02393432678637789,0.039827612812992054,-0.0014156979013252426,-0.0006218766698627543,-0.0011512420788744248,0.09207369589665847,77.14900933045277
7,4234,4234,1.0,0.27717282000230625,0.15314430533147347,0.08745372252683555,0.06691946405323428,0.00011336624188699502,-0.0021890962189495635,-0.0008975571678876182,0.1886668520762104,88.71865407208271
8,4224,4224,1.0,0.30688375599856954,0.17770640068783286,0.15734686869734782,-0.04331848569318031,-0.0005468313727730944,-0.0031941252764548064,-0.0004175266202756284,0.2412321086085186,68.24622894313754
9,4007,4007,1.0,0.28944154699274804,0.3948533356650084,0.1501417351045696,0.036488904163966565,-0.0005344572641628549,-0.0075272122073047594,-0.0017852673062804074,0.42405282365109725,73.60776795433638
10,2100,1742,0.8295238095238096,0.21561462299723644,-0.8110842361670872,-0.3834296138553975,-2.0045323035619953,-0.02769956167143341,0.07085262474295409,0.022545750672270697,2.1936409870957583,81.24723431022564
11,1057,654,0.618732261116367,0.18976833499618806,1.1372178391800845,-1.2048140430786831,-7.291298413857793,-0.08468550819158012,0.29718610459040623,0.057010143336586855,7.488556654603694,75.2557903253262
12,668,261,0.3907185628742515,0.15307521499926224,0.8089929919808938,-1.5994828111862887,-7.401248140842794,-0.12282098678315503,0.3359372088601268,0.06489718025885247,7.625872274031171,59.41296504842999
13,541,347,0.6414048059149723,0.16261798900086433,0.6049636483287132,1.7950301108003288,0.24588836522618288,0.012293340306229831,0.010257661963392974,-0.03601381886739851,1.9113346350474592,62.027427687307124
14,718,349,0.4860724233983287,0.14258437699754722,-0.19029649019692263,1.9028727546726425,4.099322573877217,0.028455456890356026,-0.017673779198585565,-0.0670157083822836,4.520410571601919,50.282052944217014
15,1117,767,0.6866606982990152,0.18569231798755936,1.9833983552249366,-0.43442879896498066,0.42663115355327214,-0.0179880978660383,0.07729553520042291,-0.007578924745132042,2.0731998817663926,85.99901367926806
16,711,356,0.5007032348804501,0.1317928229982499,-0.35553951723212995,-0.264114054016166,-5.717631303280262,0.013033488189468943,0.020601057379274486,0.08585193636135804,5.7339287180395875,14.708153818655447
17,60,27,0.45,0.13013948799925856,4.842249312680347,-2.203978819129487,-14.332530342200563,-0.04744026343616565,-0.36715117873720254,-0.47298532169302143,15.37027557190924,33.871747559268414
18,885,366,0.4135593220338983,0.13651640299940482,-1.2023269227584403,0.18617363254560648,1.5703105113405327,-0.0008231852883535212,-0.22622673637242222,-0.029344698970290056,1.9849173726117635,76.39140832594951
19,53,19,0.3584905660377358,0.1270944790012436,-0.6789548538111715,1.6699771234886318,16.82625448610877,0.12533664089921542,-1.3731933650075152,-1.357098617125094,16.91201474583388,41.01022353245969
20,477,216,0.4528301886792453,0.15971698600333184,-5.702276138051257,4.968171232445791,10.790691427456576,0.23426394430199077,0.029255201825468057,-0.0014748484057325179,12.9658359400898,74.99585447947662
21,1856,1856,1.0,0.3562236110010417,0.825448770845151,-0.09926389272249567,0.3959405052623597,0.004744125935171614,-0.009624089063520436,-0.003911607931332441,0.9205534920031185,85.3917151256546
22,499,282,0.5651302605210421,0.20876819900877308,-0.7258540080498042,0.11437593285828078,-0.2292200854051761,0.005481551078859371,-0.14319131659709833,-0.008022249179536887,0.7699473890682674,85.08778784445536
23,75,42,0.56,0.17751650900754612,1.7027716884018875,-1.5202126054619214,-18.255489133237184,-0.037381479669571914,0.3098084238884209,0.613420140947422,18.418843845852074,42.43814733495603
24,716,290,0.40502793296089384,0.17566771499696188,-0.10459828650798578,-0.4756645854641658,-0.1481114295942407,-0.003474520018453738,0.0034748061362175737,-0.004100803172973273,0.5089261096913472,67.66198205791717
25,152,88,0.5789473684210527,0.1610312620032346,-0.20023245694852432,0.4511699695355968,0.26931069074526076,-0.023499423035124156,0.2697890111062113,0.02709858474016969,0.5619166713691236,45.13675479351893
26,745,380,0.5100671140939598,0.20587783699738793,2.3171648185716136,0.01644225765179971,5.188381520994798,0.010953735883828964,-0.027281196760520442,-0.07015580870858584,5.682306412663267,37.4205522523076
27,619,452,0.7302100161550888,0.18144129500433337,-2.0279075382252385,-0.24605375208983818,-1.3400123139949072,0.01414730671445983,-0.05725958473564089,-0.03215371629700112,2.4406388661593703,36.56850765303946
28,166,93,0.5602409638554217,0.12321841200173367,-0.8745597474981934,-0.49538244609719917,1.409195215145198,-0.009852373268212157,-0.23458765546891308,-0.0014092637005405848,1.7339808534860925,54.50116595970567
29,492,241,0.4898373983739837,0.15577865300292615,-0.15744112331613397,-0.06159073885264697,-0.1069844648772779,0.02023367069397845,-0.09657079319393537,-0.013415781758765627,0.20002171151214937,61.73886907184915
30,33,18,0.5454545454545454,0.1400630799907958,1.360114951074508,-9.370099248440084,-16.309698615142306,-0.35943167834556844,1.346208043075517,0.47417494974661617,18.938644521900603,55.99626375497962
31,190,93,0.48947368421052634,0.12924715100962203,-7.677139489326878,5.830703020561268,14.225283108737546,0.2454522812968294,0.08362285433142722,0.06399190743282986,16.841990875297036,52.17118557166532
32,1685,1466,0.8700296735905044,0.1588847670063842,0.8870226049935864,-0.027818739052739832,-0.02087195179275145,0.005735584177758909,0.0084642405453611,-0.00257129139508004,0.8877091794281899,63.48405247831026
33,315,141,0.44761904761904764,0.23693897100747563,-0.26176621219548396,1.3779924965864039,1.5234353966236436,0.05225838962660912,-0.15758947928297504,-0.03341218114024981,2.0684608072767925,76.09237647620267
34,86,39,0.45348837209302323,0.22877438600698952,-0.30449474656227815,0.32704198286392266,-0.753314035772822,0.02526421489014519,-0.047609549808268786,0.008456697083227653,0.8766194786224824,75.5123950189317
35,789,347,0.43979721166032953,0.1726819049945334,-0.5592382244945215,-1.7973597066935054,-0.6470415149091978,0.004747776135795112,0.015422760627018209,0.03971497558612115,1.987585856295826,13.942542883974202
36,1327,646,0.48681235870384326,0.1883059929969022,2.171352424850525,-1.677215905495524,-0.5793012233396937,0.011983696169100215,0.19242924666961175,0.14070329036564747,2.8106645323922814,46.12713315961652
37,1849,1242,0.6717144402379664,0.19912321800075006,1.434450997431007,0.0420719602047697,2.0527013784422863,-0.08202283193429137,-0.029006434878476303,0.0538136922677965,2.5049839151432542,60.9356686201024
38,1017,807,0.7935103244837758,0.1558739530009916,-0.47873944477797425,-0.40794916854357904,0.47141261840194554,-0.09151050025925338,0.026023250810426668,0.0670700476588357,0.7870498830106164,53.4257949347757
39,3912,3905,0.9982106339468303,0.24328519699338358,0.21787920924637358,-0.25852335128078513,-0.12644517943763955,-0.0042120365484735614,-0.0007371817709709542,-0.00896129569777973,0.3611346512758374,65.57812169549187
40,4226,4226,1.0,0.23861260899866465,0.084331089082447,-0.22656932873839838,-0.1355758248456878,0.0003195973012865697,-0.003859921819035927,-0.015486884935704215,0.27725687101240876,43.073086821389325
41,4255,4255,1.0,0.23252350599796046,-0.1465892646832816,-0.1107750665375389,-0.1111335258555273,4.911681354157502e-05,-0.001706101798476566,-0.012712356977720387,0.2146594380919254,62.955212140193495
42,4255,4255,1.0,0.2837894399999641,-0.16182682310728164,-0.09560070978169198,-0.05829647701249355,2.217839414455112e-05,-0.0017790002578618202,-0.014050220135084727,0.19674894027902934,77.78341619843125
43,4256,4256,1.0,1.1800877269997727,-0.19722252190609313,-0.09251458506172199,0.044075802598347064,-7.282160585540511e-05,-0.001664000257861511,-0.014861220135084733,0.22228894074604216,77.21264309958377
44,4254,4254,1.0,0.3429419919993961,-0.1433676164443169,-0.03006098646578327,0.06681538917597574,-4.79753555497664e-05,-0.0017285344981101676,-0.014845456021749978,0.16101942586756696,64.10269265573474
45,4256,4256,1.0,0.27496908100147266,-0.07198914716327061,0.021144602436488573,0.03681496939586219,-0.0005237001040753351,0.0009513200343327028,-0.016829888837757507,0.08356970246836583,74.17706719472191
46,4255,4255,1.0,0.25872387299023103,-0.11210779219966364,-0.042918075503349216,0.1735759845967845,8.395594060000373e-05,-0.0015402182301081702,-0.015875185675149776,0.21107653878927524,69.16661151073639
47,4255,4255,1.0,0.25063680300081614,-0.17979975407669993,-0.07301865285034363,0.2528776509049548,4.9955940599692174e-05,-0.001509218230108278,-0.015935185675149836,0.3188489616201762,69.03363593515691
48,4256,4256,1.0,0.2541004119993886,-0.19070309536429564,-0.04300235607119824,0.21348356960018786,0.00025143030155966555,-0.0013075444672497763,-0.01591450859401622,0.28952135922925204,69.70096824603476
49,4256,4256,1.0,0.22308729999349453,-0.20864761967566764,-0.06504693005716357,0.30795126888228197,0.0003124303015593102,-0.001456544467249731,-0.016260508594016176,0.37771913154754144,70.25835959844122
50,4256,4256,1.0,0.2162592979875626,-0.19846526613571125,-0.027185384853057288,0.3266700587358814,0.00035726565038794,-0.0016308062183140034,-0.015882554830164156,0.3832381586804921,72.92336985715217
51,4256,4256,1.0,0.2870783649996156,-0.20677426637771834,0.03413847400017509,0.3062938930566055,0.0005442656503874331,-0.0015788062183138404,-0.01599855483016405,0.37107834704461923,72.92861391353952
52,4256,4256,1.0,0.2809830129990587,-0.2400524912262,0.15893564158093337,0.38884920161427183,0.0005677616124607723,-0.001755910129568738,-0.01604119414539193,0.4835598732614146,73.28085902300282
53,4256,4102,0.9638157894736842,0.2449995589995524,-0.22545624423006924,0.2167427783830548,0.3576697215041194,0.00010849782041999492,-0.0013655503321442866,-0.016117383626632755,0.4747948554406663,89.9416852861951
54,4256,4256,1.0,0.23901438199391123,-0.13579619039745244,0.3571905675205559,0.30278340547870647,-0.0008293987086610223,-0.00012160425880807868,-0.016103200334069503,0.4872851007066873,57.33960418903409
55,4255,4255,1.0,0.23714205699798185,-0.0024460213499720718,0.39416009543245417,0.2099471441605302,0.00015113837338135938,-0.0021842119938372093,-0.014867652812891837,0.4465895887501475,86.56918027494918
56,4256,4121,0.9682800751879699,0.72689732699655,0.001439996141090827,0.43404591200615555,0.21494624624198055,0.00013613837338192724,-0.002261211993837092,-0.013876652812891984,0.4843572443739656,86.31719538533828
57,4256,4256,1.0,0.5609788209985709,0.036163955900815406,0.43281774070736245,0.23050627709165583,4.313837338136238e-05,-0.0023112119938371975,-0.012942652812891883,0.49176710223438164,86.14138083216113
58,4255,4252,0.9992949471210341,0.27305222098948434,-0.0353385112696471,0.4936515957620674,0.2672068519418035,-0.0011514574876655042,-0.0005673878462445312,-0.012689258302424658,0.5623685638656526,52.71834123298859
